cubetype,solvetype,time,date,steps,plustwo,blind,scrambleType,scramble,comment
3x3x3,"大歐派蘿莉",26.82,Jan 12 2019 - 13:28:39,,n,n,,"L2 R2 D L2 F2 R2 F2 U2 L2 F' L' B L2 F L R2 B' L U' ",
3x3x3,"大歐派蘿莉",22.22,Jan 12 2019 - 13:14:44,,n,n,,"L2 B2 U2 B2 U' F2 U' F2 U2 L B' L R D2 B' R2 D2 B2 F R2 ",
3x3x3,"大歐派蘿莉",19.19,Jan 12 2019 - 13:13:42,,n,n,,"D2 B2 D' F2 L2 R2 D F2 U' F2 L2 D2 F' R F2 D U R B' L' U' ",
3x3x3,"大歐派蘿莉",18.74,Jan 12 2019 - 13:12:52,,n,n,,"B2 F2 D2 B2 L2 D' L2 R2 D' B2 F' D' R' F' L D' B' L' F2 D2 R ",
3x3x3,"大歐派蘿莉",24.67,Jan 12 2019 - 13:11:29,,n,n,,"B2 U2 L2 U R2 U' L2 D B2 L2 B2 L' F' U' B' L' B U2 F2 L' ",
3x3x3,"大歐派蘿莉",19.94,Jan 12 2019 - 13:10:46,,n,n,,"R2 D R2 F2 L2 D2 B2 F2 D' L2 F2 B L' R' D F R2 U B' R' ",
3x3x3,"大歐派蘿莉",27.18,Jan 12 2019 - 13:10:04,,n,n,,"L2 F2 R2 U R2 U2 F2 U F2 D' R' F' D' F U B' U2 R' U2 R2 D2 ",
3x3x3,"大歐派蘿莉",23.40,Jan 12 2019 - 13:08:03,,n,n,,"R2 D R2 U' L2 D B2 F2 R2 D R2 F2 B L' F2 U2 F2 D' R' F2 ",
3x3x3,"大歐派蘿莉",22.09,Jan 12 2019 - 13:07:23,,n,n,,"U2 B2 D' B2 U' R2 B2 U' R D L U R2 F' R' D B' U L' D' ",
3x3x3,"大歐派蘿莉",19.37,Jan 12 2019 - 13:06:40,,n,n,,"D R2 U' F2 D L2 U' B2 D2 R' B2 R F D' U' R' F' D' L' D U ",
3x3x3,"大歐派蘿莉",25.13,Jan 12 2019 - 13:06:01,,n,n,,"B2 D' R2 F2 U2 F2 U2 R2 F2 U2 B' L D B2 R2 F D' B L' D R ",
3x3x3,"大歐派蘿莉",25.91,Jan 12 2019 - 13:05:15,,n,n,,"U' F2 R2 D2 F2 L2 D' L2 D2 L' B R U2 B2 D' F D2 L B2 L' U2 ",
3x3x3,"大歐派蘿莉",23.72,Jan 12 2019 - 13:04:26,,n,n,,"D' B2 U2 B2 D' L2 U B2 U' F2 L U' R2 D L2 D B R2 F2 L F ",
3x3x3,"大歐派蘿莉",27.58,Jan 12 2019 - 13:03:43,,n,n,,"D F2 R2 F2 D U R2 U' B2 U' F2 B' U F L2 R D B' U L' ",
3x3x3,"大歐派蘿莉",21.76,Jan 12 2019 - 13:02:57,,n,n,,"L2 D L2 D2 F2 D L2 R2 F2 L' U' L2 F R2 U2 B D2 L D2 U' ",
3x3x3,"大歐派蘿莉",24.05,Jan 12 2019 - 13:02:16,,n,n,,"D' B2 D R2 B2 D U2 F2 L2 U L' F L2 F' U' R' B' D R F' U' ",
3x3x3,"大歐派蘿莉",21.54,Jan 12 2019 - 13:01:26,,n,n,,"R2 B2 D R2 U' F2 D B2 R2 U' B2 L D' L F' D U2 R2 U F' D2 ",
3x3x3,"大歐派蘿莉",25.03,Jan 12 2019 - 13:00:15,,n,n,,"U2 F2 U2 B2 L2 B2 U2 R2 U' F2 U L D F' D L2 F U' R' D R2 ",
3x3x3,"大歐派蘿莉",25.15,Jan 12 2019 - 12:59:31,,n,n,,"L2 B2 D2 F2 D L2 R2 D2 B2 F2 R B L' F2 D' L' R U' B2 ",
3x3x3,"大歐派蘿莉",24.37,Jan 12 2019 - 12:58:40,,n,n,,"D' F2 D2 B2 D B2 U L2 D2 B2 L' F' U F2 R2 F' U2 F R B U ",
3x3x3,"大歐派蘿莉",21.34,Jan 12 2019 - 12:57:47,,n,n,,"U R2 F2 D' U F2 U R2 D' B' R F2 R2 D L' B2 U' B2 F U ",
3x3x3,"大歐派蘿莉",28.96,Jan 12 2019 - 12:56:55,,n,n,,"L2 B2 U2 L2 D F2 R2 U2 R2 U' L2 D B' L B D U' R B' U ",
3x3x3,"大歐派蘿莉",27.21,Jan 8 2019 - 12:52:09,,n,n,,"U2 L2 U R2 F2 D' L2 U2 F2 U2 F2 B R2 F L D' U' B' D' F R ",
3x3x3,"大歐派蘿莉",26.25,Jan 8 2019 - 12:51:19,,n,n,,"U2 L2 D' F2 L2 D L2 B2 D2 U' F2 B L' D' L' R B2 F' U' L U ",
3x3x3,"大歐派蘿莉",30.06,Jan 8 2019 - 12:50:36,,n,n,,"B2 L2 U' L2 F2 U B2 F2 L' B U2 B' R' B' F2 R' U2 L2 U B' U' ",
3x3x3,"大歐派蘿莉",31.45,Jan 8 2019 - 12:49:50,,n,n,,"U' F2 R2 D' L2 D2 R2 U' L2 R' F' U2 L B D' R2 F2 D2 B' R F ",
3x3x3,"大歐派蘿莉",39.81,Jan 8 2019 - 12:49:01,,n,n,,"B2 U' F2 L2 U2 L2 R2 F2 D' B' D2 F2 R2 U' B D R' F R2 D2 U ",
3x3x3,"大歐派蘿莉",25.99,Jan 8 2019 - 12:48:00,,n,n,,"L2 R2 D2 R2 D' U L2 D R U' B' L' R2 U' B2 R' B' U' F U' ",
3x3x3,"大歐派蘿莉",32.26,Jan 7 2019 - 21:46:04,,n,n,,"U' R2 D' R2 D R2 U B2 R2 B R' U2 R D B F2 R' D' R2 U2 L ",
3x3x3,"大歐派蘿莉",29.58,Jan 7 2019 - 18:50:28,,n,n,,"D L2 D2 B2 D' L2 R2 F2 U' L' U B D' R F L2 D2 R B' U' ",
3x3x3,"大歐派蘿莉",33.45,Jan 7 2019 - 18:47:29,,n,n,,"D L2 R2 F2 R2 U' B2 F2 U2 F2 B' L' F' R' U L' F' U' L2 F L2 ",
3x3x3,"大歐派蘿莉",34.21,Jan 6 2019 - 12:02:30,,n,n,,"B2 D' R2 D U R2 F2 L2 F2 D2 B' R F' L2 D2 L2 R' B' L U' ",
3x3x3,"大歐派蘿莉",40.96,Jan 6 2019 - 12:01:26,,n,n,,"R2 F2 U B2 D' L2 U L2 U F2 B' L' U' F' R' B F R' F2 L' D ",
